idi,idj,farmi,farmj,bmai,bmaj,dij1,dij2,dij3,dij4,dij5,dij6,dij7,dij8,dij9,dij10,dij11,dij12,dij13,dij14,fbi,fbj,farmij,bma1
25,25,168,168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-168,1-168,168168,1
25,39,168,179,1,1,17038.863,832.98639,802.84473,720.25256,17050.088,17730.311,32648.762,117650.06,228271.69,49724.328,48586.352,45349.773,38002.547,16990.332,1-168,1-179,168179,1
25,45,168,215,1,1,15886.57,685.66211,638.52112,566.7616,15891.439,16268.594,29436.131,106914.41,208459.23,32349.338,30728.832,28618.402,24861.324,15922.792,1-168,1-215,168215,1
25,40,168,222,1,1,18030.629,875.86395,827.56158,747.82642,18043.398,18854.656,35328.602,125795.23,244094.63,49986.523,48324.641,45328.004,38774.086,18021.77,1-168,1-222,168222,1
25,41,168,228,1,1,18774.9,928.54193,877.92804,786.14661,18787.662,19612.033,35161.648,122817.41,237896.19,52644.203,50789.438,47419.727,40360.723,18770.254,1-168,1-228,168228,1
25,49,168,251,1,1,20110.32,994.04987,970.86554,905.80585,20121.623,20809.609,36150.84,124708.89,240948.83,56840.914,55988.961,53515.875,46494.051,20111.359,1-168,1-251,168251,1
25,38,168,320,1,1,15245.282,724.58276,692.93756,627.91193,15257.277,16025.215,32801.852,126850.7,247430.97,43154.289,42062.336,39408.863,33242.457,15176.253,1-168,1-320,168320,1
25,57,168,342,1,1,30755.035,1325.8979,1301.5544,1215.04,30761.336,31339.775,48878.289,147971.94,279769.13,63134.246,62458.125,60145.871,53468.422,30758.219,1-168,1-342,168342,1
25,52,168,370,1,1,24232.102,1120.4558,1099.2159,1038.0343,24243.527,24941.023,40928.5,135204.33,258966.2,59477.523,58801.313,56612.043,50464.023,24181.451,1-168,1-370,168370,1
25,48,168,377,1,1,19399.768,904.56464,881.14929,819.58313,19411.008,20090.23,34842.75,123660.02,240685.39,52184.457,51354.344,48844.098,42277.992,19375.299,1-168,1-377,168377,1
25,43,168,44,1,1,15401.793,709.01587,676.76563,629.53253,15405.389,15740.25,29455.551,109776.8,214532.98,38471,37430.871,36167.828,32547.219,15444.599,1-168,1-44,16844,1
25,44,168,45,1,1,15490.104,706.69385,681.16479,633.52582,15493.037,15772.782,28509.797,104626.32,204195.91,37485.539,36558.816,34844.777,30601.721,15447.208,1-168,1-45,16845,1
25,42,168,46,1,1,14418.742,603.49884,572.66803,511.76254,14422.145,14741.547,26886.295,96583.406,188219.81,30118.096,28727.459,27040.572,23443.111,14384.264,1-168,1-46,16846,1
25,58,168,502,1,1,28995.496,1286.0862,1219.1708,1120.4385,29000.439,29464.516,46292.887,144091.55,273191.5,61468.633,59185.625,56368.316,51467.313,28929.066,1-168,1-502,168502,1
25,59,168,504,1,1,29898.928,1249.6893,1177.5282,1081.7172,29904.096,30390.051,48757.672,149970.3,283406.63,58237.957,56029.316,53345.66,48504.258,29916.961,1-168,1-504,168504,1
25,33,168,51,1,1,6835.2412,313.9025,296.5235,267.17331,6837.1245,7012.1772,13549.282,51455.711,100790.52,16189.398,15716.608,14509.546,12350.34,6854.3823,1-168,1-51,16851,1
25,29,168,52,1,1,6013.3164,299.58502,264.55145,227.03247,6014.5518,6129.4146,10154.601,33653.879,64765.715,12086.812,11514.727,10932.396,10182.252,5951.9771,1-168,1-52,16852,1
25,28,168,53,1,1,6317.6147,261.75735,235.61452,209.64761,6318.5835,6410.5659,10412.09,34126.578,65647.539,10488.096,9284.1045,8880.8516,8693.9463,6352.1221,1-168,1-53,16853,1
25,27,168,54,1,1,5826.9082,230.79366,210.06128,191.5112,5828.0386,5931.9448,9473.5391,30169.299,57742.535,9384.2305,8392.9023,8198.4512,8199.8779,5786.4541,1-168,1-54,16854,1
25,26,168,55,1,1,1279.6504,87.802719,83.535988,62.996037,1279.7567,1290.0154,1831.2028,5658.5317,10861.614,3212.207,3104.7646,2810.9275,2149.4993,1289.8508,1-168,1-55,16855,1
25,34,168,57,1,1,8111.6401,349.55103,344.12433,319.57065,8117.7646,8637.8262,20497.932,81606.352,160009.41,16757.984,16900.402,16913.455,15194.432,8110.0376,1-168,1-57,16857,1
